station_id,name_chinese,name_english,latitude,longitude,district_id
001001,海淀北部新区,HaiDianBeiBuXinQu,40.090679,116.173553,00101
001002,海淀北京植物园,HaiDianBeiJingZhiWuYuan,40.003950,116.205310,00101
001003,石景山古城,ShiJingShanGuCheng,39.914409,116.184239,00102
001004,丰台云岗,FengTaiYunGang,39.815128,116.171150,00103
001005,房山良乡,FangShanLiangXiang,39.742767,116.136045,00104
001006,海淀万柳,HaiDianWanLiu,39.987313,116.287451,00101
001007,朝阳奥体中心,ChaoYangAoTiZhongXin,39.982053,116.397400,00105
001008,西直门北大街,XiZhiMenBeiDaJie,39.954047,116.348991,00101
001009,西城万寿西宫,XiChengWanShouXiGong,39.878193,116.351974,00106
001010,永定门内大街,YongDingMenNeiDaJie,39.876184,116.394009,00103
001011,南三环西路,NanSanHuanXiLu,39.855958,116.367810,00103
001012,朝阳农展馆,ChaoYangNongZhanGuan,39.937119,116.460742,00105
001013,东城东四,DongChengDongSi,39.929287,116.416883,00107
001014,东四环北路,DongSiHuanBeiLu,39.939554,116.483746,00105
001015,西城官园,XiChengGuanYuan,39.929302,116.351029,00106
001016,丰台花园,FengTaiHuaYuan,39.863470,116.279082,00103
001017,大兴黄村镇,DaXingHuangCunZhen,39.718147,116.406155,00108
001018,亦庄开发区,YiZhuangKaiFaQu,39.794491,116.506319,00108
001019,通州新城,TongZhouXinCheng,39.885241,116.664162,00109
001020,东城天坛,DongChengTianTan,39.886491,116.407355,00107
001021,前门东大街,QianMenDongDaJie,39.899135,116.395383,00107
001022,北京美国大使馆,BeiJingMeiGuoDaShiGuan,39.920993,116.443448,00105
001023,顺义新城,ShunYiXinCheng,40.127000,116.655000,00110
001024,昌平镇,ChangPingZhen,40.216999,116.230000,00111
001025,门头沟龙泉镇,MenTouGouLongQuanZhen,39.936999,116.105999,00112
001026,平谷镇,PingGuZhen,40.143000,117.099999,00113
001027,怀柔镇,HuaiRouZhen,40.328000,116.628000,00114
001028,密云镇,MiYunZhen,40.369999,116.831999,00115
001029,延庆镇,YanQingZhen,40.453000,115.971999,00116
001030,昌平定陵,ChangPingDingLing,40.292000,116.220000,00111
001031,京西北八达岭,JingXiBeiBaDaLing,40.365000,115.988000,00116
001032,京东北密云水库,JingDongBeiMiYunShuiKu,40.499000,116.911000,00115
001033,京东东高村,JingDongDongGaoCun,40.100000,117.120000,00113
001034,京东南永乐店,JingDongNanYongLeDian,39.712000,116.783000,00109
001035,京南榆垡,JingNanYu,39.520000,116.300000,00108
001036,京西南琉璃河,JingXiNanLiuLiHe,39.579999,116.000000,00104
004020,葵涌,KuiYong,22.630626,114.423948,00403
006001,天津淮河道,TianJinHuaiHeDao,39.226534,117.185582,00601
006002,天津海泰发展二路,TianJinHaiTaiFaZhanErLu,39.078575,117.090225,00602
006003,天津复康路,TianJinFuKangLu,39.097003,117.151144,00603
006004,天津大直沽八号路,TianJinDaZhiGuBaHaoLu,39.110683,117.244978,00604
006005,天津南京路,TianJinNanJingLu,39.119988,117.188737,00605
006006,天津香山道,TianJinXiangShanDao,39.134453,117.268666,00604
006007,天津新华道,TianJinXinHuaDao,39.138249,117.003922,00602
006008,天津勤俭道,TianJinQinJianDao,39.165838,117.144256,00606
006010,天津前进道,TianJinQianJinDao,39.092699,117.201676,00607
006011,天津南口路,TianJinNanKouLu,39.172125,117.189702,00608
006012,天津津沽路,TianJinJinGuLu,38.984566,117.373981,00609
006013,天津航天路,TianJinHangTianLu,39.151429,117.374754,00610
006014,天津跃进路,TianJinYueJinLu,39.087569,117.314156,00610
006015,天津东环路,TianJinDongHuanLu,40.047066,117.445221,00611
006016,天津建设路,TianJinJianSheLu,39.718542,117.307892,00612
006017,天津宝白公路,TianJinBaoBaiGongLu,39.521521,117.349777,00612
006019,天津河西一经路,TianJinHeXiYiJingLu,39.247742,117.791805,00613
006020,天津汉北路,TianJinHanBeiLu,39.163609,117.765026,00609
006021,天津广安道,TianJinGuangAnDao,38.845188,116.779604,00614
006022,天津第四大街,TianJinDiSiDaJie,39.035119,117.708035,00609
006023,天津塘沽营口道,TianJinTangGuYingKouDao,39.021217,117.650914,00615
006024,天津永明路,TianJinYongMingLu,38.841980,117.456722,00609
006025,天津北纬二路,TianJinBeiWeiErLu,38.943255,116.914829,00614
006026,天津团泊洼,TianJinTuanBoWa,38.920287,117.156657,00614
006027,天津泉州南路,TianJinQuanZhouNanLu,39.375577,117.044563,00615
006028,天津市监测中心,TianJinShiJianCeZhongXin,39.097000,117.151000,00603
006040,天津雍阳西道,TianJinYongYangXiDao,39.384054,117.042640,00616
012001,辛集市政府,XinJiShiZhengFu,37.948999,115.224000,01201
013001,雷达站子站,LeiDaZhanZiZhan,39.643000,118.144000,01301
013002,供销社,GongXiaoShe,39.631000,118.166000,01301
013003,十二中,ShiErZhong,39.658000,118.184000,01301
013004,物资局,WuZiJu,39.640999,118.185000,01301
013005,陶瓷公司,TaoCiGongSi,39.667999,118.218999,01302
013006,小山,XiaoShan,39.630000,118.200000,01303
013007,古冶区政府,GuYeQuZhengFu,39.740000,118.453999,01304
013008,开平监测站,KaiPingJianCeZhan,39.674000,118.269000,01302
013009,丰南区政府,FengNanQuZhengFu,39.582000,118.090999,01305
013010,丰润区政府,FengRunQuZhengFu,39.838999,118.169000,01306
013011,迁西环保局,QianXiHuanBaoJu,40.152000,118.311000,01307
013012,曹妃甸新立小学,CaoDianXinLiXiaoXue,39.289999,118.456000,01308
013013,遵化环保局,ZunHuaHuanBaoJu,40.204999,117.991000,01309
013014,迁安一中,QianAnYiZhong,40.003000,118.711000,01310
013015,乐亭县综合职校,LeTingXianZongHeZhiXiao,39.432000,118.919000,01313
013016,滦县第一中学,LuanXianDiYiZhongXue,39.747000,118.709999,01311
013017,滦南县县政府,LuanNanXianXianZhengFu,39.509999,118.681000,01312
013018,玉田县政府,YuTianXianZhengFu,39.906999,117.745000,01314
017001,市监测站,ShiJianCeZhan,38.871000,115.521000,01701
017002,地表水厂,DiBiaoShuiChang,38.841999,115.461000,01702
017003,华电二区,HuaDianErQu,38.896000,115.522000,01701
017004,接待中心,JieDaiZhongXin,38.911000,115.471000,01703
017005,胶片厂,JiaoPianChang,38.875999,115.441999,01703
017006,游泳馆,YouYongGuan,38.863000,115.492999,01701
017007,满城税务局,ManChengShuiWuJu,38.954999,115.328999,01704
017008,清菀县政府,QingXianZhengFu,38.771000,115.496000,01705
017009,徐水环保局,XuShuiHuanBaoJu,39.024999,115.662000,01706
017010,安新民政局,AnXinMinZhengJu,38.942000,115.941999,01707
017011,涿州监测站,ZhouJianCeZhan,39.491999,116.034000,01708
017012,高碑店环保局,GaoBeiDianHuanBaoJu,39.332000,115.880000,01709
017013,易县环境保护局,YiXianHuanJingBaoHuJu,39.347000,115.479000,01716
017014,顺平县环保局,ShunPingXianHuanBaoJu,38.850000,115.150000,01719
017015,容城县环境保护局,RongChengXianHuanJingBaoHuJu,39.048000,115.867999,01713
017016,蠡县县政府,XianXianZhengFu,38.488000,115.578000,01718
017017,唐县政府楼,TangXianZhengFuLou,38.747999,114.976000,01711
017018,雄县环境保护局,XiongXianHuanJingBaoHuJu,38.981999,116.090000,01720
017019,定兴县政府,DingXingXianZhengFu,39.268999,115.813999,01724
017020,涞源县环保局,YuanXianHuanBaoJu,39.359000,114.697999,01714
017021,曲阳县环保局,QuYangXianHuanBaoJu,38.619999,114.724999,01717
017022,白沟新城行政中心楼,BaiGouXinChengXingZhengZhongXinLou,39.109000,116.029000,01709
017023,阜平县环保局,FuPingXianHuanBaoJu,38.850999,114.194000,01710
017024,安国市政府,AnGuoShiZhengFu,38.427999,115.322000,01722
017025,涞水县环境监测站,ShuiXianHuanJingJianCeZhan,39.393000,115.712999,01723
017026,高阳县环保局,GaoYangXianHuanBaoJu,38.692000,115.764000,01712
017027,望都县环境监测站,WangDuXianHuanJingJianCeZhan,38.704999,115.160000,01715
017028,博野县招生办,BoYeXianZhaoShengBan,38.453000,115.462000,01726
018001,定州武装部,DingZhouWuZhuangBu,38.521999,114.997000,01801
021001,沧州市环保局,CangZhouShiHuanBaoJu,38.323000,116.871000,02102
021002,沧县城建局,CangXianChengJianJu,38.298999,116.885000,02101
021003,电视转播站,DianShiZhuanBoZhan,38.325000,116.858000,02102
021004,青县政府,QingXianZhengFu,38.588999,116.810000,02103
021005,泊头市政府,BoTouShiZhengFu,38.088999,116.584999,02104
021006,任丘华油八处,RenQiuHuaYouBaChu,38.737000,116.119000,02105
021007,黄骅财政局培训中心,HuangCaiZhengJuPeiXunZhongXin,38.377000,117.337000,02106
021008,南皮县教师进修学校,NanPiXianJiaoShiJinXiuXueXiao,38.036000,116.712000,02111
021009,河间市交通局,HeJianShiJiaoTongJu,38.438000,116.113000,02115
021010,海兴县武装部,HaiXingXianWuZhuangBu,38.143000,117.492999,02108
021011,肃宁县政府,SuNingXianZhengFu,38.423000,115.822999,02110
021012,孟村县气象局,MengCunXianQiXiangJu,38.055999,117.125000,02114
021013,盐山县盐山中学,YanShanXianYanShanZhongXue,38.064000,117.236999,02109
021014,吴桥县桑园镇政府,WuQiaoXianSangYuanZhenZhengFu,37.630000,116.395000,02112
021015,献县政府,XianXianZhengFu,38.189000,116.117000,02113
021016,东光县铁佛寺,DongGuangXianTieFoSi,37.872000,116.533000,02107
